sensor_id,time_taken
117613,0 days 00:00:58.186127
121027,0 days 00:01:08.278608
120185,0 days 00:01:08.128290
140562,0 days 00:01:26.475416
125999,0 days 00:01:31.826288
81173,0 days 00:02:42.014340
80989,0 days 00:02:51.568792
126539,0 days 00:04:19.707528
116233,0 days 00:04:57.526497
73607,0 days 00:05:08.737840
99831,0 days 00:05:13.200710
121197,0 days 00:05:13.218886
85007,0 days 00:05:15.990557
95997,0 days 00:06:37.387083
104460,0 days 00:06:39.175200
119981,0 days 00:06:47.309682
114519,0 days 00:07:03.551791
51937,0 days 00:06:04.167078
94529,0 days 00:07:18.157088
32351,0 days 00:06:23.029926
26403,0 days 00:07:45.057107
17473,0 days 00:07:48.908938
28807,0 days 00:07:50.883643
111932,0 days 00:07:59.790483
110502,0 days 00:08:01.995026
109570,0 days 00:07:59.080715
52411,0 days 00:08:13.465763
109100,0 days 00:08:12.014848
111610,0 days 00:08:24.843187
74093,0 days 00:08:29.032678
13629,0 days 00:08:48.693805
25905,0 days 00:09:25.521739
83183,0 days 00:09:44.457413
104014,0 days 00:10:01.136486
104744,0 days 00:10:22.155565
62485,0 days 00:11:26.208723
10304,0 days 00:12:19.896196
64327,0 days 00:12:45.530787
78357,0 days 00:12:56.890950
25345,0 days 00:13:35.504961
58685,0 days 00:13:59.526140
114319,0 days 00:07:26.658324
2061,0 days 00:14:26.964062
76499,0 days 00:14:30.744788
54307,0 days 00:07:16.817585
114051,0 days 00:09:06.450759
111113,0 days 00:08:44.518104
81663,0 days 00:12:24.585623
93205,0 days 00:17:49.156756
59949,0 days 00:18:30.872923
90427,0 days 00:13:35.868672
47569,0 days 00:14:45.736053
84277,0 days 00:19:14.866693
90827,0 days 00:12:00.704583
89847,0 days 00:19:26.613499
67443,0 days 00:19:39.301711
68099,0 days 00:19:48.405717
63481,0 days 00:20:03.952325
92807,0 days 00:17:13.563782
53151,0 days 00:20:29.364216
54977,0 days 00:20:49.570910
48419,0 days 00:21:03.221762
86477,0 days 00:21:05.925639
28717,0 days 00:13:42.636381
77673,0 days 00:22:04.124788
84945,0 days 00:22:33.407988
72913,0 days 00:05:23.933401
73533,0 days 00:22:36.590517
89641,0 days 00:08:13.789065
83525,0 days 00:22:42.196649
112922,0 days 00:08:56.128982
5914,0 days 00:13:13.070645
79991,0 days 00:23:27.083559
11938,0 days 00:23:43.079232
65729,0 days 00:24:06.915882
71851,0 days 00:24:13.852125
58997,0 days 00:24:22.141523
104960,0 days 00:04:04.671710
108620,0 days 00:01:55.548036
53267,0 days 00:11:11.214095
64347,0 days 00:24:56.244792
70761,0 days 00:24:58.444977
84377,0 days 00:25:02.925802
58857,0 days 00:18:04.319944
74759,0 days 00:25:20.919890
6084,0 days 00:25:24.673457
82755,0 days 00:25:37.324816
68959,0 days 00:07:57.149714
7022,0 days 00:25:47.334836
62307,0 days 00:26:12.837731
73919,0 days 00:26:19.122155
65713,0 days 00:26:38.834386
83609,0 days 00:24:11.094385
49931,0 days 00:26:53.932140
64491,0 days 00:25:27.251306
55967,0 days 00:27:23.773658
25745,0 days 00:17:27.070486
80721,0 days 00:20:51.612095
53329,0 days 00:28:15.430107
85505,0 days 00:09:52.443830
55527,0 days 00:28:59.063175
130163,0 days 00:05:57.982808
69563,0 days 00:20:13.443917
86277,0 days 00:25:02.190495
120847,0 days 00:05:26.446351
95697,0 days 00:11:02.280747
20817,0 days 00:30:38.795189
80737,0 days 00:23:10.652397
97923,0 days 00:04:42.973087
10692,0 days 00:31:17.024620
12192,0 days 00:32:02.090728
60829,0 days 00:30:41.682698
111463,0 days 00:07:47.803301
20743,0 days 00:32:13.880559
109472,0 days 00:09:06.260653
24219,0 days 00:32:49.035201
11664,0 days 00:13:01.015896
76561,0 days 00:08:46.606209
63119,0 days 00:28:07.661385
46463,0 days 00:33:40.020233
69201,0 days 00:25:48.137518
103864,0 days 00:10:02.886335
60801,0 days 00:27:31.506851
105688,0 days 00:08:54.212201
47615,0 days 00:35:20.240829
115981,0 days 00:08:33.865141
56153,0 days 00:16:18.041746
34877,0 days 00:19:21.256861
27311,0 days 00:36:54.033508
6730,0 days 00:31:51.937538
77575,0 days 00:24:38.461930
76043,0 days 00:12:13.194670
29101,0 days 00:13:04.269720
107998,0 days 00:10:59.440608
33122,0 days 00:37:41.708495
2279,0 days 00:37:43.541847
104586,0 days 00:09:50.707151
74271,0 days 00:15:37.369265
3102,0 days 00:30:30.600070
92015,0 days 00:11:45.235007
47469,0 days 00:30:57.762555
62767,0 days 00:19:26.325026
82335,0 days 00:20:11.310859
89775,0 days 00:17:02.950524
14073,0 days 00:26:01.822182
59931,0 days 00:27:09.139382
78645,0 days 00:21:56.264452
38387,0 days 00:40:55.123014
37771,0 days 00:41:06.961044
84745,0 days 00:19:14.256445
36061,0 days 00:41:20.473302
90885,0 days 00:17:48.522837
19005,0 days 00:41:52.236379
91157,0 days 00:16:27.437326
22415,0 days 00:19:17.097808
60661,0 days 00:20:54.563578
64733,0 days 00:24:35.753239
83999,0 days 00:21:10.261124
56403,0 days 00:18:48.485735
18847,0 days 00:42:57.589175
70241,0 days 00:21:53.177276
20239,0 days 00:43:12.296503
34137,0 days 00:17:45.402117
3924,0 days 00:28:14.928663
34235,0 days 00:16:54.673716
55115,0 days 00:24:53.207060
82659,0 days 00:15:47.530282
65901,0 days 00:19:37.208868
18369,0 days 00:23:07.475260
21263,0 days 00:39:47.039247
59869,0 days 00:19:10.680001
60825,0 days 00:18:38.101656
7968,0 days 00:46:38.721334
20997,0 days 00:48:20.009411
27637,0 days 00:40:32.638607
19193,0 days 00:47:40.664713
20707,0 days 00:49:02.628741
30327,0 days 00:40:58.771585
37309,0 days 00:29:32.336843
11614,0 days 00:49:40.851172
9066,0 days 00:50:17.861072
15603,0 days 00:40:56.601211
35389,0 days 00:31:58.801684
31225,0 days 00:26:14.892983
25767,0 days 00:28:24.714718
13015,0 days 00:52:06.229350
22086,0 days 00:40:50.253794
39171,0 days 00:24:31.917311
21465,0 days 00:44:17.287709
27109,0 days 00:28:06.175657
9220,0 days 00:53:32.728654
6324,0 days 00:41:16.352026
6178,0 days 00:47:08.498654
9750,0 days 00:54:05.394570
23919,0 days 00:33:16.893293
20999,0 days 00:30:54.118116
4974,0 days 00:56:48.682450
7860,0 days 00:44:06.682974
3340,0 days 00:39:16.615974
3082,0 days 00:40:14.980462
